Region,Country,Manager,Distributor,Distributor_Group,Product_Category,Month,Year,Value,Count
APAC,China,Alice,Distributor A,Group 1,Category 1,1,2023,234,89
APAC,China,Alice,Distributor A,Group 1,Category 2,1,2023,714,78
APAC,China,Alice,Distributor A,Group 1,Category 3,1,2023,263,97
APAC,China,Alice,Distributor A,Group 2,Category 1,1,2023,333,64
APAC,China,Alice,Distributor A,Group 2,Category 2,1,2023,301,78
APAC,China,Alice,Distributor A,Group 2,Category 3,1,2023,766,49
APAC,China,Alice,Distributor B,Group 1,Category 1,1,2023,340,22
APAC,China,Alice,Distributor B,Group 1,Category 2,1,2023,743,28
APAC,China,Alice,Distributor B,Group 1,Category 3,1,2023,854,97
APAC,China,Alice,Distributor B,Group 2,Category 1,1,2023,845,70
APAC,China,Alice,Distributor B,Group 2,Category 2,1,2023,619,59
APAC,China,Alice,Distributor B,Group 2,Category 3,1,2023,390,27
APAC,China,Alice,Distributor C,Group 1,Category 1,1,2023,664,46
APAC,China,Alice,Distributor C,Group 1,Category 2,1,2023,584,45
APAC,China,Alice,Distributor C,Group 1,Category 3,1,2023,997,83
APAC,China,Alice,Distributor C,Group 2,Category 1,1,2023,689,53
APAC,China,Alice,Distributor C,Group 2,Category 2,1,2023,614,60
APAC,China,Alice,Distributor C,Group 2,Category 3,1,2023,792,24
APAC,China,Alice,Distributor D,Group 1,Category 1,1,2023,265,55
APAC,China,Alice,Distributor D,Group 1,Category 2,1,2023,253,91
APAC,China,Alice,Distributor D,Group 1,Category 3,1,2023,446,70
APAC,China,Alice,Distributor D,Group 2,Category 1,1,2023,482,79
APAC,China,Alice,Distributor D,Group 2,Category 2,1,2023,678,49
APAC,China,Alice,Distributor D,Group 2,Category 3,1,2023,573,83
APAC,China,Bob,Distributor A,Group 1,Category 1,1,2023,247,68
APAC,China,Bob,Distributor A,Group 1,Category 2,1,2023,727,87
APAC,China,Bob,Distributor A,Group 1,Category 3,1,2023,365,95
APAC,China,Bob,Distributor A,Group 2,Category 1,1,2023,233,61
APAC,China,Bob,Distributor A,Group 2,Category 2,1,2023,960,56
APAC,China,Bob,Distributor A,Group 2,Category 3,1,2023,394,56
APAC,China,Bob,Distributor B,Group 1,Category 1,1,2023,483,99
APAC,China,Bob,Distributor B,Group 1,Category 2,1,2023,761,42
APAC,China,Bob,Distributor B,Group 1,Category 3,1,2023,203,75
APAC,China,Bob,Distributor B,Group 2,Category 1,1,2023,725,85
APAC,China,Bob,Distributor B,Group 2,Category 2,1,2023,208,65
APAC,China,Bob,Distributor B,Group 2,Category 3,1,2023,860,92
APAC,China,Bob,Distributor C,Group 1,Category 1,1,2023,661,50
APAC,China,Bob,Distributor C,Group 1,Category 2,1,2023,217,63
APAC,China,Bob,Distributor C,Group 1,Category 3,1,2023,622,94
APAC,China,Bob,Distributor C,Group 2,Category 1,1,2023,626,53
APAC,China,Bob,Distributor C,Group 2,Category 2,1,2023,550,34
APAC,China,Bob,Distributor C,Group 2,Category 3,1,2023,459,37
APAC,China,Bob,Distributor D,Group 1,Category 1,1,2023,296,70
APAC,China,Bob,Distributor D,Group 1,Category 2,1,2023,409,76
APAC,China,Bob,Distributor D,Group 1,Category 3,1,2023,763,52
APAC,China,Bob,Distributor D,Group 2,Category 1,1,2023,817,61
APAC,China,Bob,Distributor D,Group 2,Category 2,1,2023,977,77
APAC,China,Bob,Distributor D,Group 2,Category 3,1,2023,966,78
APAC,China,Charlie,Distributor A,Group 1,Category 1,1,2023,300,93
APAC,China,Charlie,Distributor A,Group 1,Category 2,1,2023,333,66
APAC,China,Charlie,Distributor A,Group 1,Category 3,1,2023,929,88
APAC,China,Charlie,Distributor A,Group 2,Category 1,1,2023,979,24
APAC,China,Charlie,Distributor A,Group 2,Category 2,1,2023,733,72
APAC,China,Charlie,Distributor A,Group 2,Category 3,1,2023,435,41
APAC,China,Charlie,Distributor B,Group 1,Category 1,1,2023,318,55
APAC,China,Charlie,Distributor B,Group 1,Category 2,1,2023,484,90
APAC,China,Charlie,Distributor B,Group 1,Category 3,1,2023,768,42
APAC,China,Charlie,Distributor B,Group 2,Category 1,1,2023,644,29
APAC,China,Charlie,Distributor B,Group 2,Category 2,1,2023,651,60
APAC,China,Charlie,Distributor B,Group 2,Category 3,1,2023,812,95
APAC,China,Charlie,Distributor C,Group 1,Category 1,1,2023,712,79
APAC,China,Charlie,Distributor C,Group 1,Category 2,1,2023,427,62
APAC,China,Charlie,Distributor C,Group 1,Category 3,1,2023,838,57
APAC,China,Charlie,Distributor C,Group 2,Category 1,1,2023,750,28
APAC,China,Charlie,Distributor C,Group 2,Category 2,1,2023,941,86
APAC,China,Charlie,Distributor C,Group 2,Category 3,1,2023,371,98
APAC,China,Charlie,Distributor D,Group 1,Category 1,1,2023,770,76
APAC,China,Charlie,Distributor D,Group 1,Category 2,1,2023,398,39
APAC,China,Charlie,Distributor D,Group 1,Category 3,1,2023,494,35
APAC,China,Charlie,Distributor D,Group 2,Category 1,1,2023,971,87
APAC,China,Charlie,Distributor D,Group 2,Category 2,1,2023,247,28
APAC,China,Charlie,Distributor D,Group 2,Category 3,1,2023,566,34
APAC,China,David,Distributor A,Group 1,Category 1,1,2023,306,52
APAC,China,David,Distributor A,Group 1,Category 2,1,2023,805,20
APAC,China,David,Distributor A,Group 1,Category 3,1,2023,830,68
APAC,China,David,Distributor A,Group 2,Category 1,1,2023,975,87
APAC,China,David,Distributor A,Group 2,Category 2,1,2023,681,95
APAC,China,David,Distributor A,Group 2,Category 3,1,2023,693,96
APAC,China,David,Distributor B,Group 1,Category 1,1,2023,857,92
