Region,Country,Manager,Distributor,Distributor_Group,Product_Category,Month,Year,sell_in_value,sell_in_count,sell_out_value,sell_out_count,inventory_value,inventory_count
APAC,China,Alice,Distributor A,Group 1,Category 1,1,2023,2878,202,1189,80,234,89
APAC,China,Alice,Distributor A,Group 1,Category 1,1,2024,4429,156,2412,297,326,93
APAC,China,Alice,Distributor A,Group 1,Category 1,1,2025,2001,247,846,395,958,86
APAC,China,Alice,Distributor A,Group 1,Category 1,2,2023,3451,132,2794,279,719,87
APAC,China,Alice,Distributor A,Group 1,Category 1,2,2024,3578,116,1980,315,245,99
APAC,China,Alice,Distributor A,Group 1,Category 1,2,2025,2489,133,883,111,982,72
APAC,China,Alice,Distributor A,Group 1,Category 1,3,2023,2604,333,1762,114,744,24
APAC,China,Alice,Distributor A,Group 1,Category 1,3,2024,1099,254,1105,129,317,30
APAC,China,Alice,Distributor A,Group 1,Category 1,3,2025,3387,309,3964,293,618,35
APAC,China,Alice,Distributor A,Group 1,Category 1,4,2023,3060,145,860,321,922,77
APAC,China,Alice,Distributor A,Group 1,Category 1,4,2024,4210,171,3889,117,569,79
APAC,China,Alice,Distributor A,Group 1,Category 1,4,2025,2737,201,3103,364,494,53
APAC,China,Alice,Distributor A,Group 1,Category 1,5,2023,4823,338,3764,228,450,40
APAC,China,Alice,Distributor A,Group 1,Category 1,5,2024,3978,427,2179,162,992,50
APAC,China,Alice,Distributor A,Group 1,Category 1,5,2025,4730,387,887,352,322,50
APAC,China,Alice,Distributor A,Group 1,Category 1,6,2023,4312,471,3298,282,309,58
APAC,China,Alice,Distributor A,Group 1,Category 1,6,2024,3371,131,1856,332,887,53
APAC,China,Alice,Distributor A,Group 1,Category 1,6,2025,2992,191,1628,391,377,24
APAC,China,Alice,Distributor A,Group 1,Category 1,7,2023,1570,283,1230,265,810,83
APAC,China,Alice,Distributor A,Group 1,Category 1,7,2024,4420,469,1315,129,435,69
APAC,China,Alice,Distributor A,Group 1,Category 1,7,2025,4045,292,2161,136,792,61
APAC,China,Alice,Distributor A,Group 1,Category 1,8,2023,3119,298,954,114,638,59
APAC,China,Alice,Distributor A,Group 1,Category 1,8,2024,1917,316,2423,323,385,90
APAC,China,Alice,Distributor A,Group 1,Category 1,8,2025,2512,204,2456,258,592,70
APAC,China,Alice,Distributor A,Group 1,Category 1,9,2023,1753,131,1050,258,421,85
APAC,China,Alice,Distributor A,Group 1,Category 1,9,2024,4628,114,1552,383,796,89
APAC,China,Alice,Distributor A,Group 1,Category 1,10,2023,3241,117,3079,134,441,85
APAC,China,Alice,Distributor A,Group 1,Category 1,10,2024,1565,199,1333,272,665,65
APAC,China,Alice,Distributor A,Group 1,Category 1,11,2023,1975,301,2583,181,706,83
APAC,China,Alice,Distributor A,Group 1,Category 1,11,2024,4362,119,1135,330,470,25
APAC,China,Alice,Distributor A,Group 1,Category 1,12,2023,1652,374,1430,351,951,71
APAC,China,Alice,Distributor A,Group 1,Category 1,12,2024,4031,356,2449,297,904,88
APAC,China,Alice,Distributor A,Group 1,Category 2,1,2023,4019,382,1437,290,714,78
APAC,China,Alice,Distributor A,Group 1,Category 2,1,2024,1348,341,2250,252,338,37
APAC,China,Alice,Distributor A,Group 1,Category 2,1,2025,3313,188,2058,114,259,34
APAC,China,Alice,Distributor A,Group 1,Category 2,2,2023,3039,302,1112,292,628,73
APAC,China,Alice,Distributor A,Group 1,Category 2,2,2024,4097,284,894,284,600,51
APAC,China,Alice,Distributor A,Group 1,Category 2,2,2025,2906,179,3459,310,730,28
APAC,China,Alice,Distributor A,Group 1,Category 2,3,2023,2287,384,3742,291,902,63
APAC,China,Alice,Distributor A,Group 1,Category 2,3,2024,3387,486,2130,89,857,82
APAC,China,Alice,Distributor A,Group 1,Category 2,3,2025,2151,257,2339,270,800,87
APAC,China,Alice,Distributor A,Group 1,Category 2,4,2023,2398,191,3822,261,472,50
APAC,China,Alice,Distributor A,Group 1,Category 2,4,2024,3082,309,1927,391,331,87
APAC,China,Alice,Distributor A,Group 1,Category 2,4,2025,1768,286,1795,197,638,52
APAC,China,Alice,Distributor A,Group 1,Category 2,5,2023,3107,414,1350,199,364,89
APAC,China,Alice,Distributor A,Group 1,Category 2,5,2024,1929,182,2673,361,622,50
APAC,China,Alice,Distributor A,Group 1,Category 2,5,2025,2455,458,1605,298,735,87
APAC,China,Alice,Distributor A,Group 1,Category 2,6,2023,4304,241,2676,234,971,93
APAC,China,Alice,Distributor A,Group 1,Category 2,6,2024,1631,382,3792,374,794,99
APAC,China,Alice,Distributor A,Group 1,Category 2,6,2025,4656,472,1121,101,608,52
APAC,China,Alice,Distributor A,Group 1,Category 2,7,2023,2928,258,3316,157,642,66
