Region,Country,Manager,Distributor,Distributor_Group,Product_Category,Month,Year,Value,Count
APAC,China,Alice,Distributor A,Group 1,Category 1,1,2023,2878,202
APAC,China,Alice,Distributor A,Group 1,Category 2,1,2023,4019,382
APAC,China,Alice,Distributor A,Group 1,Category 3,1,2023,4865,379
APAC,China,Alice,Distributor A,Group 2,Category 1,1,2023,1794,141
APAC,China,Alice,Distributor A,Group 2,Category 2,1,2023,4767,402
APAC,China,Alice,Distributor A,Group 2,Category 3,1,2023,2834,434
APAC,China,Alice,Distributor B,Group 1,Category 1,1,2023,2347,220
APAC,China,Alice,Distributor B,Group 1,Category 2,1,2023,1060,321
APAC,China,Alice,Distributor B,Group 1,Category 3,1,2023,3015,343
APAC,China,Alice,Distributor B,Group 2,Category 1,1,2023,2731,338
APAC,China,Alice,Distributor B,Group 2,Category 2,1,2023,4246,220
APAC,China,Alice,Distributor B,Group 2,Category 3,1,2023,2414,264
APAC,China,Alice,Distributor C,Group 1,Category 1,1,2023,4549,325
APAC,China,Alice,Distributor C,Group 1,Category 2,1,2023,2329,498
APAC,China,Alice,Distributor C,Group 1,Category 3,1,2023,1919,420
APAC,China,Alice,Distributor C,Group 2,Category 1,1,2023,2757,375
APAC,China,Alice,Distributor C,Group 2,Category 2,1,2023,4355,417
APAC,China,Alice,Distributor C,Group 2,Category 3,1,2023,3775,301
APAC,China,Alice,Distributor D,Group 1,Category 1,1,2023,1646,141
APAC,China,Alice,Distributor D,Group 1,Category 2,1,2023,1603,169
APAC,China,Alice,Distributor D,Group 1,Category 3,1,2023,3604,288
APAC,China,Alice,Distributor D,Group 2,Category 1,1,2023,2800,381
APAC,China,Alice,Distributor D,Group 2,Category 2,1,2023,4711,292
APAC,China,Alice,Distributor D,Group 2,Category 3,1,2023,3374,187
APAC,China,Bob,Distributor A,Group 1,Category 1,1,2023,2696,457
APAC,China,Bob,Distributor A,Group 1,Category 2,1,2023,3940,199
APAC,China,Bob,Distributor A,Group 1,Category 3,1,2023,2656,217
APAC,China,Bob,Distributor A,Group 2,Category 1,1,2023,4704,359
APAC,China,Bob,Distributor A,Group 2,Category 2,1,2023,3423,383
APAC,China,Bob,Distributor A,Group 2,Category 3,1,2023,2659,366
APAC,China,Bob,Distributor B,Group 1,Category 1,1,2023,3637,391
APAC,China,Bob,Distributor B,Group 1,Category 2,1,2023,1057,268
APAC,China,Bob,Distributor B,Group 1,Category 3,1,2023,2909,223
APAC,China,Bob,Distributor B,Group 2,Category 1,1,2023,3857,471
APAC,China,Bob,Distributor B,Group 2,Category 2,1,2023,2014,111
APAC,China,Bob,Distributor B,Group 2,Category 3,1,2023,2026,124
APAC,China,Bob,Distributor C,Group 1,Category 1,1,2023,4093,257
APAC,China,Bob,Distributor C,Group 1,Category 2,1,2023,4282,212
APAC,China,Bob,Distributor C,Group 1,Category 3,1,2023,4852,389
APAC,China,Bob,Distributor C,Group 2,Category 1,1,2023,3240,361
APAC,China,Bob,Distributor C,Group 2,Category 2,1,2023,4155,234
APAC,China,Bob,Distributor C,Group 2,Category 3,1,2023,3122,214
APAC,China,Bob,Distributor D,Group 1,Category 1,1,2023,1077,287
APAC,China,Bob,Distributor D,Group 1,Category 2,1,2023,1788,228
APAC,China,Bob,Distributor D,Group 1,Category 3,1,2023,1457,493
APAC,China,Bob,Distributor D,Group 2,Category 1,1,2023,4250,241
APAC,China,Bob,Distributor D,Group 2,Category 2,1,2023,1118,385
APAC,China,Bob,Distributor D,Group 2,Category 3,1,2023,1002,369
APAC,China,Charlie,Distributor A,Group 1,Category 1,1,2023,1611,483
APAC,China,Charlie,Distributor A,Group 1,Category 2,1,2023,3535,241
APAC,China,Charlie,Distributor A,Group 1,Category 3,1,2023,2018,236
APAC,China,Charlie,Distributor A,Group 2,Category 1,1,2023,4883,389
APAC,China,Charlie,Distributor A,Group 2,Category 2,1,2023,2776,335
APAC,China,Charlie,Distributor A,Group 2,Category 3,1,2023,2541,217
APAC,China,Charlie,Distributor B,Group 1,Category 1,1,2023,4063,401
APAC,China,Charlie,Distributor B,Group 1,Category 2,1,2023,2362,269
APAC,China,Charlie,Distributor B,Group 1,Category 3,1,2023,3674,239
APAC,China,Charlie,Distributor B,Group 2,Category 1,1,2023,1976,194
APAC,China,Charlie,Distributor B,Group 2,Category 2,1,2023,1094,399
APAC,China,Charlie,Distributor B,Group 2,Category 3,1,2023,1664,298
APAC,China,Charlie,Distributor C,Group 1,Category 1,1,2023,1147,197
APAC,China,Charlie,Distributor C,Group 1,Category 2,1,2023,2691,344
APAC,China,Charlie,Distributor C,Group 1,Category 3,1,2023,4868,433
APAC,China,Charlie,Distributor C,Group 2,Category 1,1,2023,1116,459
APAC,China,Charlie,Distributor C,Group 2,Category 2,1,2023,1340,187
APAC,China,Charlie,Distributor C,Group 2,Category 3,1,2023,2300,282
APAC,China,Charlie,Distributor D,Group 1,Category 1,1,2023,1268,166
APAC,China,Charlie,Distributor D,Group 1,Category 2,1,2023,4328,336
APAC,China,Charlie,Distributor D,Group 1,Category 3,1,2023,4305,468
APAC,China,Charlie,Distributor D,Group 2,Category 1,1,2023,4689,100
APAC,China,Charlie,Distributor D,Group 2,Category 2,1,2023,3780,131
APAC,China,Charlie,Distributor D,Group 2,Category 3,1,2023,2673,406
APAC,China,David,Distributor A,Group 1,Category 1,1,2023,1372,310
APAC,China,David,Distributor A,Group 1,Category 2,1,2023,1731,167
APAC,China,David,Distributor A,Group 1,Category 3,1,2023,2870,114
APAC,China,David,Distributor A,Group 2,Category 1,1,2023,4254,278
APAC,China,David,Distributor A,Group 2,Category 2,1,2023,4753,129
APAC,China,David,Distributor A,Group 2,Category 3,1,2023,2376,229
APAC,China,David,Distributor B,Group 1,Category 1,1,2023,4641,236
APAC,China,David,Distributor B,Group 1,Category 2,1,2023,1297,196
APAC,China,David,Distributor B,Group 1,Category 3,1,2023,2514,337
APAC,China,David,Distributor B,Group 2,Category 1,1,2023,4569,332
APAC,China,David,Distributor B,Group 2,Category 2,1,2023,3314,116
APAC,China,David,Distributor B,Group 2,Category 3,1,2023,4576,204
APAC,China,David,Distributor C,Group 1,Category 1,1,2023,4014,383
APAC,China,David,Distributor C,Group 1,Category 2,1,2023,2526,197
APAC,China,David,Distributor C,Group 1,Category 3,1,2023,4572,400
APAC,China,David,Distributor C,Group 2,Category 1,1,2023,3803,393
