Region,Country,Manager,Distributor,Distributor_Group,Product_Category,Month,Year,Value,Count
APAC,China,Alice,Distributor A,Group 1,Category 1,1,2023,1189,80
APAC,China,Alice,Distributor A,Group 1,Category 2,1,2023,1437,290
APAC,China,Alice,Distributor A,Group 1,Category 3,1,2023,3241,223
APAC,China,Alice,Distributor A,Group 2,Category 1,1,2023,3687,103
APAC,China,Alice,Distributor A,Group 2,Category 2,1,2023,3232,175
APAC,China,Alice,Distributor A,Group 2,Category 3,1,2023,1719,169
APAC,China,Alice,Distributor B,Group 1,Category 1,1,2023,2925,332
APAC,China,Alice,Distributor B,Group 1,Category 2,1,2023,1715,125
APAC,China,Alice,Distributor B,Group 1,Category 3,1,2023,1176,177
APAC,China,Alice,Distributor B,Group 2,Category 1,1,2023,3440,235
APAC,China,Alice,Distributor B,Group 2,Category 2,1,2023,3318,210
APAC,China,Alice,Distributor B,Group 2,Category 3,1,2023,1719,295
APAC,China,Alice,Distributor C,Group 1,Category 1,1,2023,3355,180
APAC,China,Alice,Distributor C,Group 1,Category 2,1,2023,3864,152
APAC,China,Alice,Distributor C,Group 1,Category 3,1,2023,1388,347
APAC,China,Alice,Distributor C,Group 2,Category 1,1,2023,3803,256
APAC,China,Alice,Distributor C,Group 2,Category 2,1,2023,1089,197
APAC,China,Alice,Distributor C,Group 2,Category 3,1,2023,2493,212
APAC,China,Alice,Distributor D,Group 1,Category 1,1,2023,3083,184
APAC,China,Alice,Distributor D,Group 1,Category 2,1,2023,2051,139
APAC,China,Alice,Distributor D,Group 1,Category 3,1,2023,3462,142
APAC,China,Alice,Distributor D,Group 2,Category 1,1,2023,1849,185
APAC,China,Alice,Distributor D,Group 2,Category 2,1,2023,3696,243
APAC,China,Alice,Distributor D,Group 2,Category 3,1,2023,1378,125
APAC,China,Bob,Distributor A,Group 1,Category 1,1,2023,2601,136
APAC,China,Bob,Distributor A,Group 1,Category 2,1,2023,3094,394
APAC,China,Bob,Distributor A,Group 1,Category 3,1,2023,1112,266
APAC,China,Bob,Distributor A,Group 2,Category 1,1,2023,3475,304
APAC,China,Bob,Distributor A,Group 2,Category 2,1,2023,3739,167
APAC,China,Bob,Distributor A,Group 2,Category 3,1,2023,2777,310
APAC,China,Bob,Distributor B,Group 1,Category 1,1,2023,1817,380
APAC,China,Bob,Distributor B,Group 1,Category 2,1,2023,2923,362
APAC,China,Bob,Distributor B,Group 1,Category 3,1,2023,3934,321
APAC,China,Bob,Distributor B,Group 2,Category 1,1,2023,2680,330
APAC,China,Bob,Distributor B,Group 2,Category 2,1,2023,2881,352
APAC,China,Bob,Distributor B,Group 2,Category 3,1,2023,3573,231
APAC,China,Bob,Distributor C,Group 1,Category 1,1,2023,2182,196
APAC,China,Bob,Distributor C,Group 1,Category 2,1,2023,2131,391
APAC,China,Bob,Distributor C,Group 1,Category 3,1,2023,2060,339
APAC,China,Bob,Distributor C,Group 2,Category 1,1,2023,1380,341
APAC,China,Bob,Distributor C,Group 2,Category 2,1,2023,2536,102
APAC,China,Bob,Distributor C,Group 2,Category 3,1,2023,2414,130
APAC,China,Bob,Distributor D,Group 1,Category 1,1,2023,2693,166
APAC,China,Bob,Distributor D,Group 1,Category 2,1,2023,2420,221
APAC,China,Bob,Distributor D,Group 1,Category 3,1,2023,1173,393
APAC,China,Bob,Distributor D,Group 2,Category 1,1,2023,3151,116
APAC,China,Bob,Distributor D,Group 2,Category 2,1,2023,3138,179
APAC,China,Bob,Distributor D,Group 2,Category 3,1,2023,2554,204
APAC,China,Charlie,Distributor A,Group 1,Category 1,1,2023,3854,129
APAC,China,Charlie,Distributor A,Group 1,Category 2,1,2023,3295,197
APAC,China,Charlie,Distributor A,Group 1,Category 3,1,2023,2692,207
APAC,China,Charlie,Distributor A,Group 2,Category 1,1,2023,2538,106
APAC,China,Charlie,Distributor A,Group 2,Category 2,1,2023,2057,141
APAC,China,Charlie,Distributor A,Group 2,Category 3,1,2023,3748,335
APAC,China,Charlie,Distributor B,Group 1,Category 1,1,2023,2134,183
APAC,China,Charlie,Distributor B,Group 1,Category 2,1,2023,1831,338
APAC,China,Charlie,Distributor B,Group 1,Category 3,1,2023,2850,341
APAC,China,Charlie,Distributor B,Group 2,Category 1,1,2023,2254,384
APAC,China,Charlie,Distributor B,Group 2,Category 2,1,2023,1349,398
APAC,China,Charlie,Distributor B,Group 2,Category 3,1,2023,1267,122
APAC,China,Charlie,Distributor C,Group 1,Category 1,1,2023,2589,382
APAC,China,Charlie,Distributor C,Group 1,Category 2,1,2023,3063,256
APAC,China,Charlie,Distributor C,Group 1,Category 3,1,2023,1606,301
APAC,China,Charlie,Distributor C,Group 2,Category 1,1,2023,3210,174
APAC,China,Charlie,Distributor C,Group 2,Category 2,1,2023,916,192
APAC,China,Charlie,Distributor C,Group 2,Category 3,1,2023,2105,113
APAC,China,Charlie,Distributor D,Group 1,Category 1,1,2023,1030,297
APAC,China,Charlie,Distributor D,Group 1,Category 2,1,2023,2587,193
APAC,China,Charlie,Distributor D,Group 1,Category 3,1,2023,2949,255
APAC,China,Charlie,Distributor D,Group 2,Category 1,1,2023,2475,307
APAC,China,Charlie,Distributor D,Group 2,Category 2,1,2023,3877,276
APAC,China,Charlie,Distributor D,Group 2,Category 3,1,2023,838,122
APAC,China,David,Distributor A,Group 1,Category 1,1,2023,2484,269
APAC,China,David,Distributor A,Group 1,Category 2,1,2023,2541,99
APAC,China,David,Distributor A,Group 1,Category 3,1,2023,3445,184
APAC,China,David,Distributor A,Group 2,Category 1,1,2023,1306,354
APAC,China,David,Distributor A,Group 2,Category 2,1,2023,3513,272
APAC,China,David,Distributor A,Group 2,Category 3,1,2023,1579,139
APAC,China,David,Distributor B,Group 1,Category 1,1,2023,1739,270
APAC,China,David,Distributor B,Group 1,Category 2,1,2023,1553,371
APAC,China,David,Distributor B,Group 1,Category 3,1,2023,2057,344
APAC,China,David,Distributor B,Group 2,Category 1,1,2023,3612,192
APAC,China,David,Distributor B,Group 2,Category 2,1,2023,967,214
APAC,China,David,Distributor B,Group 2,Category 3,1,2023,2367,91
APAC,China,David,Distributor C,Group 1,Category 1,1,2023,2136,110
APAC,China,David,Distributor C,Group 1,Category 2,1,2023,1746,164
APAC,China,David,Distributor C,Group 1,Category 3,1,2023,3009,115
APAC,China,David,Distributor C,Group 2,Category 1,1,2023,2672,156
APAC,China,David,Distributor C,Group 2,Category 2,1,2023,1192,318
APAC,China,David,Distributor C,Group 2,Category 3,1,2023,1383,303
APAC,China,David,Distributor D,Group 1,Category 1,1,2023,1770,269
APAC,China,David,Distributor D,Group 1,Category 2,1,2023,3561,314
APAC,China,David,Distributor D,Group 1,Category 3,1,2023,875,191
APAC,China,David,Distributor D,Group 2,Category 1,1,2023,3734,149
APAC,China,David,Distributor D,Group 2,Category 2,1,2023,3677,299
APAC,China,David,Distributor D,Group 2,Category 3,1,2023,1437,352
APAC,Japan,Alice,Distributor A,Group 1,Category 1,1,2023,3758,254
APAC,Japan,Alice,Distributor A,Group 1,Category 2,1,2023,2089,288
APAC,Japan,Alice,Distributor A,Group 1,Category 3,1,2023,1010,168
APAC,Japan,Alice,Distributor A,Group 2,Category 1,1,2023,1132,177
